,X,Y,W,H,Xc,Yc,R
0,333.0,183.0,75.0,96.0,370.0,231.0,48.0
1,342.0,184.0,74.0,93.0,379.0,230.0,46.0
2,351.0,186.0,73.0,90.0,387.0,231.0,45.0
3,360.0,187.0,72.0,87.0,396.0,230.0,43.0
4,365.0,185.0,69.0,88.0,399.0,229.0,44.0
5,369.0,184.0,66.0,87.0,402.0,227.0,43.0
6,373.0,182.0,64.0,88.0,405.0,226.0,44.0
7,374.0,180.0,64.0,87.0,406.0,223.0,43.0
8,374.0,178.0,65.0,87.0,406.0,221.0,43.0
9,375.0,176.0,65.0,87.0,407.0,219.0,43.0
10,375.0,175.0,66.0,86.0,408.0,218.0,43.0
11,376.0,173.0,66.0,86.0,409.0,216.0,43.0
12,375.0,173.0,66.0,85.0,408.0,215.0,42.0
13,374.0,173.0,65.0,84.0,406.0,215.0,42.0
14,373.0,174.0,65.0,83.0,405.0,215.0,41.0
15,373.0,175.0,65.0,83.0,405.0,216.0,41.0
16,378.0,172.0,63.0,82.0,409.0,213.0,41.0
17,381.0,173.0,63.0,82.0,412.0,214.0,41.0
18,384.0,174.0,63.0,82.0,415.0,215.0,41.0
19,386.0,176.0,64.0,81.0,418.0,216.0,40.0
20,387.0,176.0,64.0,81.0,419.0,216.0,40.0
21,388.0,176.0,64.0,81.0,420.0,216.0,40.0
22,390.0,176.0,63.0,81.0,421.0,216.0,40.0
23,389.0,174.0,63.0,82.0,420.0,215.0,41.0
24,388.0,173.0,64.0,81.0,420.0,213.0,40.0
25,388.0,171.0,63.0,82.0,419.0,212.0,41.0
26,387.0,170.0,63.0,81.0,418.0,210.0,40.0
27,389.0,171.0,65.0,81.0,421.0,211.0,40.0
28,391.0,172.0,66.0,80.0,424.0,212.0,40.0
29,393.0,172.0,66.0,81.0,426.0,212.0,40.0
30,396.0,175.0,67.0,80.0,429.0,215.0,40.0
31,400.0,177.0,66.0,81.0,433.0,217.0,40.0
32,405.0,182.0,66.0,81.0,438.0,222.0,40.0
33,410.0,187.0,66.0,81.0,443.0,227.0,40.0
34,414.0,193.0,70.0,82.0,449.0,234.0,41.0
35,420.0,196.0,69.0,78.0,454.0,235.0,39.0
36,426.0,200.0,69.0,74.0,460.0,237.0,37.0
37,427.0,195.0,69.0,75.0,461.0,232.0,37.0
38,428.0,190.0,69.0,77.0,462.0,228.0,38.0
39,427.0,181.0,69.0,77.0,461.0,219.0,38.0
40,427.0,172.0,69.0,78.0,461.0,211.0,39.0
41,429.0,164.0,67.0,82.0,462.0,205.0,41.0
42,426.0,157.0,68.0,83.0,460.0,198.0,41.0
43,423.0,150.0,69.0,84.0,457.0,192.0,42.0
44,420.0,143.0,70.0,85.0,455.0,185.0,42.0
45,418.0,138.0,69.0,85.0,452.0,180.0,42.0
46,416.0,134.0,68.0,84.0,450.0,176.0,42.0
47,412.0,134.0,69.0,84.0,446.0,176.0,42.0
48,409.0,134.0,69.0,84.0,443.0,176.0,42.0
49,404.0,138.0,68.0,86.0,438.0,181.0,43.0
50,400.0,143.0,66.0,87.0,433.0,186.0,43.0
51,395.0,152.0,67.0,81.0,428.0,192.0,40.0
52,392.0,156.0,64.0,83.0,424.0,197.0,41.0
53,388.0,161.0,65.0,82.0,420.0,202.0,41.0
54,384.0,165.0,66.0,82.0,417.0,206.0,41.0
55,379.0,167.0,66.0,82.0,412.0,208.0,41.0
56,382.0,171.0,66.0,81.0,415.0,211.0,40.0
57,382.0,177.0,68.0,80.0,416.0,217.0,40.0
58,382.0,176.0,68.0,78.0,416.0,215.0,39.0
59,384.0,174.0,68.0,79.0,418.0,213.0,39.0
60,386.0,173.0,68.0,79.0,420.0,212.0,39.0
61,388.0,169.0,68.0,78.0,422.0,208.0,39.0
62,390.0,164.0,68.0,79.0,424.0,203.0,39.0
63,397.0,158.0,66.0,84.0,430.0,200.0,42.0
64,406.0,152.0,67.0,85.0,439.0,194.0,42.0
65,412.0,150.0,70.0,86.0,447.0,193.0,43.0
66,418.0,148.0,72.0,86.0,454.0,191.0,43.0
67,424.0,146.0,74.0,87.0,461.0,189.0,43.0
68,430.0,144.0,77.0,88.0,468.0,188.0,44.0
69,434.0,146.0,76.0,88.0,472.0,190.0,44.0
70,438.0,148.0,74.0,87.0,475.0,191.0,43.0
71,442.0,150.0,73.0,87.0,478.0,193.0,43.0
72,446.0,152.0,72.0,86.0,482.0,195.0,43.0
73,450.0,154.0,71.0,86.0,485.0,197.0,43.0
74,454.0,156.0,70.0,86.0,489.0,199.0,43.0
75,452.0,157.0,72.0,84.0,488.0,199.0,42.0
76,451.0,158.0,73.0,82.0,487.0,199.0,41.0
77,450.0,159.0,74.0,80.0,487.0,199.0,40.0
78,449.0,160.0,75.0,78.0,486.0,199.0,39.0
79,449.0,160.0,75.0,79.0,486.0,199.0,39.0
80,450.0,161.0,74.0,79.0,487.0,200.0,39.0
81,450.0,162.0,74.0,78.0,487.0,201.0,39.0
82,454.0,154.0,69.0,85.0,488.0,196.0,42.0
83,453.0,153.0,69.0,84.0,487.0,195.0,42.0
84,452.0,151.0,69.0,85.0,486.0,193.0,42.0
85,451.0,150.0,70.0,85.0,486.0,192.0,42.0
86,450.0,148.0,70.0,85.0,485.0,190.0,42.0
87,449.0,147.0,71.0,85.0,484.0,189.0,42.0
88,448.0,146.0,71.0,85.0,483.0,188.0,42.0
89,448.0,144.0,70.0,85.0,483.0,186.0,42.0
90,447.0,143.0,71.0,85.0,482.0,185.0,42.0
91,446.0,141.0,71.0,86.0,481.0,184.0,43.0
92,445.0,140.0,71.0,86.0,480.0,183.0,43.0
93,443.0,136.0,71.0,86.0,478.0,179.0,43.0
94,441.0,133.0,71.0,85.0,476.0,175.0,42.0
95,439.0,129.0,71.0,86.0,474.0,172.0,43.0
96,438.0,126.0,69.0,85.0,472.0,168.0,42.0
97,436.0,122.0,69.0,86.0,470.0,165.0,43.0
98,434.0,118.0,69.0,86.0,468.0,161.0,43.0
99,432.0,115.0,69.0,85.0,466.0,157.0,42.0
100,430.0,111.0,68.0,86.0,464.0,154.0,43.0
101,431.0,108.0,65.0,86.0,463.0,151.0,43.0
102,432.0,105.0,62.0,86.0,463.0,148.0,43.0
103,432.0,108.0,62.0,86.0,463.0,151.0,43.0
104,432.0,111.0,62.0,86.0,463.0,154.0,43.0
105,434.0,114.0,62.0,82.0,465.0,155.0,41.0
106,436.0,118.0,63.0,76.0,467.0,156.0,38.0
107,436.0,121.0,62.0,77.0,467.0,159.0,38.0
108,437.0,124.0,60.0,77.0,467.0,162.0,38.0
109,434.0,128.0,64.0,78.0,466.0,167.0,39.0
110,433.0,137.0,62.0,71.0,464.0,172.0,35.0
111,430.0,141.0,63.0,65.0,461.0,173.0,32.0
112,431.0,146.0,57.0,72.0,459.0,182.0,36.0
113,431.0,148.0,56.0,70.0,459.0,183.0,35.0
114,429.0,150.0,54.0,70.0,456.0,185.0,35.0
115,426.0,149.0,54.0,74.0,453.0,186.0,37.0
116,426.0,154.0,52.0,64.0,452.0,186.0,32.0
117,422.0,152.0,55.0,67.0,449.0,185.0,33.0
118,424.0,149.0,54.0,68.0,451.0,183.0,34.0
119,421.0,152.0,56.0,65.0,449.0,184.0,32.0
120,427.0,150.0,49.0,68.0,451.0,184.0,34.0
121,425.0,156.0,51.0,62.0,450.0,187.0,31.0
122,426.0,164.0,47.0,58.0,449.0,193.0,29.0
123,430.0,169.0,42.0,60.0,451.0,199.0,30.0
124,432.0,178.0,30.0,61.0,447.0,208.0,30.0
125,434.0,187.0,26.0,53.0,447.0,213.0,26.0
126,435.0,190.0,24.0,55.0,447.0,217.0,27.0
127,435.0,194.0,24.0,56.0,447.0,222.0,28.0
128,434.0,196.0,40.0,61.0,454.0,226.0,30.0
129,434.0,198.0,56.0,66.0,462.0,231.0,33.0
130,435.0,205.0,57.0,60.0,463.0,235.0,30.0
131,436.0,211.0,57.0,55.0,464.0,238.0,28.0
